,Shipment_ID,Origin_Country,Destination_Country,Shipment_Date,Estimated_Arrival_Date,Actual_Arrival_Date,Transport_Mode,Carrier_Name,Route_Code,Declared_Value_USD,Tariff_Category,Route_Risk_Index,Inspection_Type,Delay_Reason,Customs_Delay_Days,Risk_Flag,Origin_City,Destination_City,Weight
0,SHP000001,India,China,2022-01-31,2022-02-12,2022-02-15,Air,Carrier_9,R854,36867.7,Low,0.16,Physical,"Incomplete paperwork, requires manual review",3,1,Mumbai,Beijing,166
1,SHP000002,Germany,Brazil,2024-08-31,2024-09-24,2024-09-25,Sea,Carrier_36,R303,3846.1,High,0.71,Document,Routine customs clearance without issue,1,1,Frankfurt,Fortaleza,511
2,SHP000003,China,Germany,2023-09-28,2023-10-13,2023-10-13,Road,Carrier_10,R320,9909.42,Medium,0.52,Document,Incorrect HS code classification,0,0,Beijing,Cologne,341
3,SHP000004,Brazil,China,2024-02-25,2024-03-18,2024-03-21,Sea,Carrier_25,R180,22165.31,High,0.14,Physical,"Suspected undervaluation, needs reassessment",3,1,Salvador,Chengdu,562
4,SHP000005,India,China,2021-07-22,2021-08-20,2021-08-20,Road,Carrier_6,R975,23347.43,High,0.51,Document,High-risk commodity flagged for inspection,0,0,Kolkata,Beijing,131
5,SHP000006,Japan,UK,2021-05-08,2021-06-03,2021-06-03,Road,Carrier_45,R799,30028.31,High,0.17,Both,High-risk commodity flagged for inspection,0,0,Osaka,Manchester,115
6,SHP000007,USA,South Africa,2023-04-04,2023-04-17,2023-04-17,Air,Carrier_44,R432,34527.42,Medium,0.5,Physical,High-risk commodity flagged for inspection,0,0,Los Angeles,Pretoria,69
7,SHP000008,Australia,Japan,2021-05-20,2021-06-14,2021-06-15,Rail,Carrier_26,R758,2685.04,High,0.66,Both,Incorrect HS code classification,1,1,Melbourne,Yokohama,506
8,SHP000009,Brazil,UAE,2023-06-24,2023-07-10,2023-07-12,Air,Carrier_9,R621,27788.8,High,0.78,Physical,Routine customs clearance without issue,2,1,Brasilia,Ras Al Khaimah,37
9,SHP000010,UK,India,2023-04-26,2023-05-13,2023-05-13,Rail,Carrier_34,R357,47035.45,High,0.92,Both,Routine customs clearance without issue,0,0,London,Kolkata,486
10,SHP000011,Brazil,UK,2020-04-01,2020-04-15,2020-04-16,Rail,Carrier_11,R564,20045.19,Low,0.36,Both,Random inspection selected,1,1,Rio de Janeiro,Edinburgh,373
11,SHP000012,South Africa,Germany,2020-09-18,2020-10-04,2020-10-05,Air,Carrier_35,R897,14765.79,Low,0.8,Physical,Random inspection selected,1,1,Durban,Cologne,180
12,SHP000013,Brazil,Germany,2019-08-26,2019-09-07,2019-09-07,Sea,Carrier_6,R849,1270.58,High,0.73,Document,Incorrect HS code classification,0,0,Sao Paulo,Berlin,793
13,SHP000014,USA,Japan,2024-12-01,2024-12-25,2024-12-28,Rail,Carrier_14,R652,38792.25,High,0.12,Document,Tariff dispute pending resolution,3,1,Chicago,Kyoto,481
14,SHP000015,South Africa,UAE,2020-05-10,2020-05-22,2020-05-24,Air,Carrier_5,R446,17214.0,Low,0.33,Both,"Suspected undervaluation, needs reassessment",2,1,Johannesburg,Abu Dhabi,484
15,SHP000016,China,Brazil,2019-10-04,2019-10-10,2019-10-14,Road,Carrier_5,R626,36750.7,High,0.47,Physical,"Suspected undervaluation, needs reassessment",4,2,Shanghai,Sao Paulo,232
16,SHP000017,Australia,UAE,2021-09-22,2021-10-22,2021-10-25,Rail,Carrier_27,R294,38278.47,Medium,0.49,Document,Tariff dispute pending resolution,3,1,Melbourne,Ajman,58
17,SHP000018,China,USA,2019-09-06,2019-09-23,2019-09-23,Road,Carrier_7,R354,26613.91,Medium,0.11,Physical,Random inspection selected,0,0,Shanghai,Chicago,251
18,SHP000019,UAE,Germany,2019-11-05,2019-11-24,2019-11-26,Sea,Carrier_4,R767,16403.44,Medium,0.25,Document,Tariff dispute pending resolution,2,1,Ajman,Hamburg,72
19,SHP000020,Germany,UAE,2019-08-29,2019-09-08,2019-09-09,Rail,Carrier_1,R499,21108.76,High,0.08,Both,"Suspected undervaluation, needs reassessment",1,1,Cologne,Abu Dhabi,697
20,SHP000021,UAE,USA,2021-02-16,2021-03-02,2021-03-02,Air,Carrier_4,R693,46555.18,Low,0.87,Physical,Incorrect HS code classification,0,0,Dubai,Phoenix,699
21,SHP000022,UAE,Australia,2024-12-15,2024-12-25,2024-12-25,Sea,Carrier_33,R182,40379.93,Low,0.54,Document,"Incomplete paperwork, requires manual review",0,0,Sharjah,Perth,659
22,SHP000023,Australia,Germany,2019-06-12,2019-07-06,2019-07-06,Sea,Carrier_27,R773,12168.82,High,0.86,Both,Random inspection selected,0,0,Melbourne,Munich,704
23,SHP000024,Germany,Japan,2023-06-10,2023-06-19,2023-06-20,Road,Carrier_30,R423,1340.65,Low,0.22,Physical,Incorrect HS code classification,1,1,Cologne,Yokohama,262
24,SHP000025,Germany,Australia,2021-12-22,2021-12-31,2021-12-31,Road,Carrier_5,R350,47202.58,High,0.7,Document,Incorrect HS code classification,0,0,Frankfurt,Perth,777
25,SHP000026,South Africa,China,2022-05-11,2022-06-06,2022-06-06,Sea,Carrier_9,R370,18817.85,Medium,0.25,Both,High-risk commodity flagged for inspection,0,0,Johannesburg,Guangzhou,624
26,SHP000027,Japan,Germany,2021-12-17,2022-01-07,2022-01-07,Rail,Carrier_17,R966,14957.18,Low,0.5,Physical,Random inspection selected,0,0,Yokohama,Frankfurt,71
27,SHP000028,USA,Japan,2020-10-23,2020-11-20,2020-11-21,Rail,Carrier_36,R822,3522.46,Low,0.24,Both,"Incomplete paperwork, requires manual review",1,1,Chicago,Yokohama,189
28,SHP000029,Japan,Australia,2020-08-29,2020-09-16,2020-09-17,Air,Carrier_3,R415,49296.87,Low,0.76,Both,"Incomplete paperwork, requires manual review",1,1,Tokyo,Perth,842
29,SHP000030,Japan,Australia,2023-07-23,2023-08-16,2023-08-16,Air,Carrier_16,R985,12644.24,High,0.63,Document,Routine customs clearance without issue,0,0,Yokohama,Adelaide,430
30,SHP000031,UK,Germany,2021-12-28,2022-01-07,2022-01-10,Sea,Carrier_25,R993,5424.2,Medium,0.19,Document,Routine customs clearance without issue,3,1,London,Cologne,404
31,SHP000032,Germany,Brazil,2019-04-07,2019-05-03,2019-05-11,Air,Carrier_26,R436,2997.98,High,0.02,Document,"Suspected undervaluation, needs reassessment",8,2,Frankfurt,Salvador,117
32,SHP000033,South Africa,Japan,2019-04-24,2019-05-02,2019-05-02,Road,Carrier_12,R694,32613.47,Medium,0.39,Both,Routine customs clearance without issue,0,0,Johannesburg,Osaka,563
33,SHP000034,Japan,UAE,2024-09-25,2024-10-03,2024-10-05,Rail,Carrier_37,R294,46899.77,High,0.11,Both,"Suspected undervaluation, needs reassessment",2,1,Tokyo,Sharjah,226
34,SHP000035,Germany,UK,2023-11-02,2023-11-09,2023-11-13,Road,Carrier_40,R421,41043.89,High,0.24,Document,Random inspection selected,4,2,Cologne,Manchester,440
35,SHP000036,UK,Brazil,2020-06-05,2020-06-16,2020-06-16,Rail,Carrier_43,R488,5562.04,Medium,0.63,Both,Routine customs clearance without issue,0,0,Liverpool,Rio de Janeiro,834
36,SHP000037,China,Japan,2022-03-21,2022-04-01,2022-04-01,Rail,Carrier_38,R721,36571.83,High,0.78,Physical,Incorrect HS code classification,0,0,Chengdu,Yokohama,970
37,SHP000038,UAE,USA,2019-12-14,2019-12-28,2019-12-28,Road,Carrier_6,R938,32459.55,Low,0.9,Physical,High-risk commodity flagged for inspection,0,0,Dubai,Houston,380
38,SHP000039,UAE,India,2024-02-09,2024-02-27,2024-02-29,Air,Carrier_46,R813,1248.02,High,0.69,Both,"Incomplete paperwork, requires manual review",2,1,Dubai,Delhi,939
39,SHP000040,India,UAE,2021-06-15,2021-06-25,2021-06-25,Rail,Carrier_4,R670,32946.1,High,0.24,Both,Incorrect HS code classification,0,0,Kolkata,Sharjah,874
40,SHP000041,Australia,Japan,2023-12-18,2024-01-11,2024-01-16,Rail,Carrier_36,R556,32832.01,High,0.57,Document,Routine customs clearance without issue,5,2,Brisbane,Tokyo,310
41,SHP000042,South Africa,UAE,2021-09-06,2021-09-19,2021-09-19,Rail,Carrier_5,R830,5590.06,High,0.24,Physical,High-risk commodity flagged for inspection,0,0,Johannesburg,Ras Al Khaimah,119
42,SHP000043,USA,Brazil,2023-04-18,2023-05-15,2023-05-16,Air,Carrier_46,R319,44710.28,Medium,0.5,Document,"Incomplete paperwork, requires manual review",1,1,Los Angeles,Brasilia,898
43,SHP000044,Germany,UAE,2023-05-15,2023-06-13,2023-06-16,Sea,Carrier_49,R689,29268.29,Medium,0.72,Document,Incorrect HS code classification,3,1,Hamburg,Abu Dhabi,383
44,SHP000045,South Africa,Germany,2024-06-22,2024-07-04,2024-07-04,Road,Carrier_28,R597,47082.47,Medium,0.37,Both,High-risk commodity flagged for inspection,0,0,Johannesburg,Frankfurt,805
45,SHP000046,UAE,USA,2024-12-27,2025-01-01,2025-01-04,Rail,Carrier_38,R677,1757.37,Low,0.97,Document,High-risk commodity flagged for inspection,3,1,Dubai,Los Angeles,510
46,SHP000047,China,Japan,2023-04-02,2023-04-17,2023-04-17,Air,Carrier_30,R434,42705.7,Low,0.56,Document,"Incomplete paperwork, requires manual review",0,0,Chengdu,Tokyo,260
47,SHP000048,South Africa,China,2022-12-04,2022-12-16,2022-12-16,Sea,Carrier_50,R767,46871.58,High,0.1,Physical,High-risk commodity flagged for inspection,0,0,Cape Town,Shenzhen,284
48,SHP000049,USA,South Africa,2020-04-13,2020-05-06,2020-05-08,Air,Carrier_30,R816,43991.28,High,0.7,Both,"Incomplete paperwork, requires manual review",2,1,Phoenix,Johannesburg,422
49,SHP000050,USA,Japan,2020-03-18,2020-04-10,2020-04-10,Sea,Carrier_20,R689,18615.07,Low,0.81,Both,"Suspected undervaluation, needs reassessment",0,0,Houston,Osaka,110
50,SHP000051,Germany,India,2022-05-20,2022-06-15,2022-06-18,Sea,Carrier_37,R901,40116.46,Medium,0.8,Physical,Incorrect HS code classification,3,1,Frankfurt,Kolkata,187
51,SHP000052,Japan,China,2023-09-17,2023-10-07,2023-10-20,Sea,Carrier_28,R470,44610.26,High,0.09,Both,"Suspected undervaluation, needs reassessment",13,2,Osaka,Shanghai,58
52,SHP000053,Brazil,Australia,2024-06-03,2024-06-22,2024-06-22,Rail,Carrier_47,R706,23814.3,Medium,0.59,Physical,Routine customs clearance without issue,0,0,Rio de Janeiro,Brisbane,706
53,SHP000054,UAE,UK,2022-10-09,2022-10-14,2022-10-16,Rail,Carrier_21,R286,2494.51,Medium,0.36,Both,"Suspected undervaluation, needs reassessment",2,1,Dubai,London,659
54,SHP000055,Brazil,Australia,2019-02-11,2019-03-04,2019-03-06,Air,Carrier_6,R347,38729.68,High,0.09,Document,"Suspected undervaluation, needs reassessment",2,1,Salvador,Melbourne,168
